unit_number,time_stamp,status,operational_setting_1,operational_setting_2,operational_setting_3,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21
unit_8,10/16/2016 12:00,0,25.0027,0.6205,Low,462.54,536.73,1262.93,1044.46,7.05,9.01,176.51,1915.55,8014.35,0.94,36.7,166.44,2028.34,7884.03,10.7829,0.02,305,1915,,14.43,8.6603
unit_7,6/7/2015 12:00,0,0.0059,0.0002,High,518.67,642.25,1586.81,1396.02,14.62,21.58,556.37,2387.96,9053.88,1.3,47.39,523.53,2388.01,8144.85,8.3888,0.03,393,2388,100,39.14,23.5012
unit_2,8/6/2015 12:00,0,0.0007,0.0005,High,518.67,642.38,1576.64,1399.93,14.62,21.57,549.88,2387.61,9032.53,1.3,47.18,519.12,2387.59,8117.19,8.3958,0.03,389,2388,100,38.74,23.3277
unit_1,6/12/2017 12:00,0,0.0023,0,,,641.85,1588.31,1392.98,14.62,,555.71,2388,9056.64,1.3,47.25,523.42,2388.04,8139.72,8.3876,0.03,392,2388,100,39.12,23.5806
unit_2,7/7/2015 12:00,0,0.0021,0.0005,High,,642.53,1584.98,1387.22,14.62,21.57,551.2,2387.72,9033.34,1.3,47.29,518.69,2387.68,8121.32,8.3965,0.03,390,2388,100,38.85,
unit_6,1/13/2016 12:00,0,-0.0024,0.0005,,518.67,642.37,1580.92,1391.61,14.62,21.57,552.42,2387.97,9050.7,1.3,47.18,520.57,2387.94,8135.17,8.4318,0.03,392,2388,100,38.79,23.3801
unit_8,3/22/2016 12:00,0,41.9984,0.84,High,445,549.44,1346.75,1117.35,3.91,5.7,138.54,2211.89,8318.9,1.02,41.59,130.54,2388,8082,9.3301,0.02,328,2212,100,10.72,6.3365
unit_10,12/26/2017 12:00,0,0.0017,0,High,518.67,642.46,1581.5,1403.72,14.62,,555.59,2388.01,9054.7,1.3,47.33,523.66,2388.05,8139.96,8.3737,0.03,393,2388,100,39.02,23.4134
unit_1,3/11/2018 12:00,0,34.9991,0.84,High,449.44,555.65,1360.57,1120.34,5.48,7.98,194.67,2223,8345.19,1.03,41.69,183.72,2388.13,8076.17,9.2481,0.02,333,2223,100,14.99,8.9268
unit_2,8/8/2016 12:00,0,-0.0011,-0.0002,High,518.67,,1596.84,1415.35,14.62,21.57,565.1,2388.33,9105.89,1.31,47.89,532.1,2388.34,8178.4,8.2903,0.03,397,2388,100,39.55,23.6681
